"","Index","Type.1","Type.2","Total","HP","Attack","Defense","SP..Atk.","SP..Def","Speed","NormHP","NormAttack","NormDefense","Performance","Grade"
"Runerigus",867,"Ground","Ghost",483,58,95,145,50,105,30,0.224,0.486,0.571,0.062,"Weak"
"Milcery",868,"Fairy","",270,45,40,40,50,61,34,0.173,0.189,0.143,0.005,"Weak"
"Alcremie",869,"Fairy","",495,65,60,75,110,121,64,0.252,0.297,0.286,0.022,"Weak"
"Falinks",870,"Fighting","",470,65,100,100,70,60,75,0.252,0.514,0.388,0.05,"Weak"
"Pincurchin",871,"Electric","",435,48,101,95,91,85,15,0.185,0.519,0.367,0.035,"Weak"
"Snom",872,"Ice","Bug",185,30,25,35,45,30,20,0.114,0.108,0.122,0.002,"Weak"
"Frosmoth",873,"Ice","Bug",475,70,65,60,125,90,65,0.272,0.324,0.224,0.02,"Weak"
"Stonjourner",874,"Rock","",470,100,125,135,20,20,70,0.39,0.649,0.531,0.135,"Weak"
"Eiscue Ice Face",875,"Ice","",470,75,80,110,65,90,50,0.291,0.405,0.429,0.051,"Weak"
"Eiscue Noice Face",875,"Ice","",470,75,80,70,65,50,130,0.291,0.405,0.265,0.031,"Weak"
"Indeedee Male",876,"Psychic","Normal",475,60,65,55,105,95,95,0.232,0.324,0.204,0.016,"Weak"
"Indeedee Female",876,"Psychic","Normal",475,70,55,65,95,105,85,0.272,0.27,0.245,0.018,"Weak"
"Morpeko Full Belly Mode",877,"Electric","Dark",436,58,95,58,70,58,97,0.224,0.486,0.216,0.024,"Weak"
"Morpeko Hangry Mode",877,"Electric","Dark",436,58,95,58,70,58,97,0.224,0.486,0.216,0.024,"Weak"
"Cufant",878,"Steel","",330,72,80,49,40,49,40,0.28,0.405,0.18,0.021,"Weak"
"Copperajah",879,"Steel","",500,122,130,69,80,69,30,0.476,0.676,0.261,0.084,"Weak"
"Dracozolt",880,"Electric","Dragon",505,90,100,90,80,70,75,0.35,0.514,0.347,0.063,"Weak"
"Arctozolt",881,"Electric","Ice",505,90,100,90,90,80,55,0.35,0.514,0.347,0.063,"Weak"
"Dracovish",882,"Water","Dragon",505,90,90,100,70,80,75,0.35,0.459,0.388,0.063,"Weak"
"Arctovish",883,"Water","Ice",505,90,90,100,80,90,55,0.35,0.459,0.388,0.063,"Weak"
"Duraludon",884,"Steel","Dragon",535,70,95,115,120,50,85,0.272,0.486,0.449,0.06,"Weak"
"Dreepy",885,"Dragon","Ghost",270,28,60,30,40,30,82,0.106,0.297,0.102,0.003,"Weak"
"Drakloak",886,"Dragon","Ghost",410,68,80,50,60,50,102,0.264,0.405,0.184,0.02,"Weak"
"Dragapult",887,"Dragon","Ghost",600,88,120,75,100,75,142,0.343,0.622,0.286,0.061,"Weak"
"Zacian Hero of Many Battles",888,"Fairy","",660,92,120,115,80,115,138,0.358,0.622,0.449,0.1,"Weak"
"Zacian Crowned Sword",888,"Fairy","Steel",700,92,150,115,80,115,148,0.358,0.784,0.449,0.126,"Weak"
"Zamazenta Hero of Many Battles",889,"Fighting","",660,92,120,115,80,115,138,0.358,0.622,0.449,0.1,"Weak"
"Zamazenta Crowned Shield",889,"Fighting","Steel",700,92,120,140,80,140,128,0.358,0.622,0.551,0.123,"Weak"
"Eternatus",890,"Poison","Dragon",690,140,85,95,145,95,130,0.547,0.432,0.367,0.087,"Weak"
"Eternatus Eternamax",890,"Poison","Dragon",1125,255,115,250,125,250,130,1,0.595,1,0.595,"Strong"
"Kubfu",891,"Fighting","",385,60,90,60,53,50,72,0.232,0.459,0.224,0.024,"Weak"
"Urshifu Single Strike Style",892,"Fighting","Dark",550,100,130,100,63,60,97,0.39,0.676,0.388,0.102,"Weak"
"Urshifu Rapid Strike Style",892,"Fighting","Water",550,100,130,100,63,60,97,0.39,0.676,0.388,0.102,"Weak"
"Zarude",893,"Dark","Grass",600,105,120,105,70,95,105,0.409,0.622,0.408,0.104,"Weak"
"Regieleki",894,"Electric","",580,80,100,50,100,50,200,0.311,0.514,0.184,0.03,"Weak"
"Regidrago",895,"Dragon","",580,200,100,50,100,50,80,0.783,0.514,0.184,0.074,"Weak"
"Glastrier",896,"Ice","",580,100,145,130,65,110,30,0.39,0.757,0.51,0.151,"Normal"
"Spectrier",897,"Ghost","",580,100,65,60,145,80,130,0.39,0.324,0.224,0.029,"Weak"
"Calyrex",898,"Psychic","Grass",500,100,80,80,80,80,80,0.39,0.405,0.306,0.049,"Weak"
"Calyrex Ice Rider",898,"Psychic","Ice",680,100,165,150,85,130,50,0.39,0.865,0.592,0.2,"Normal"
"Calyrex Shadow Rider",898,"Psychic","Ghost",680,100,85,80,165,100,150,0.39,0.432,0.306,0.052,"Weak"
"Wyrdeer",899,"Normal","Psychic",525,103,105,72,105,75,65,0.402,0.541,0.273,0.06,"Weak"
"Kleavor",900,"Bug","Rock",500,70,135,95,45,70,85,0.272,0.703,0.367,0.07,"Weak"
"Ursaluna",901,"Ground","Normal",550,130,140,105,45,80,50,0.508,0.73,0.408,0.152,"Normal"
"Ursaluna Bloodmoon",901,"Ground","Normal",555,113,70,120,135,65,52,0.441,0.351,0.469,0.073,"Weak"
"Basculegion Male",902,"Water","Ghost",530,120,112,65,80,75,78,0.469,0.578,0.245,0.067,"Weak"
"Basculegion Female",902,"Water","Ghost",530,120,92,65,100,75,78,0.469,0.47,0.245,0.054,"Weak"
"Sneasler",903,"Fighting","Poison",510,80,130,60,40,80,120,0.311,0.676,0.224,0.047,"Weak"
"Overqwil",904,"Dark","Poison",510,85,115,95,65,65,85,0.331,0.595,0.367,0.072,"Weak"
"Enamorus Incarnate Forme",905,"Fairy","Flying",580,74,115,70,135,80,106,0.287,0.595,0.265,0.045,"Weak"
"Enamorus Therian Forme",905,"Fairy","Flying",580,74,115,110,135,100,46,0.287,0.595,0.429,0.073,"Weak"
"Sprigatito",906,"Grass","",310,40,61,54,45,45,65,0.154,0.303,0.2,0.01,"Weak"
"Floragato",907,"Grass","",410,61,80,63,60,63,83,0.236,0.405,0.237,0.023,"Weak"
"Meowscarada",908,"Grass","Dark",530,76,110,70,81,70,123,0.295,0.568,0.265,0.045,"Weak"
"Fuecoco",909,"Fire","",310,67,45,59,63,40,36,0.26,0.216,0.22,0.013,"Weak"
"Crocalor",910,"Fire","",411,81,55,78,90,58,49,0.315,0.27,0.298,0.026,"Weak"
"Skeledirge",911,"Fire","Ghost",530,104,75,100,110,75,66,0.406,0.378,0.388,0.06,"Weak"
"Quaxly",912,"Water","",310,55,65,45,50,45,50,0.213,0.324,0.163,0.011,"Weak"
"Quaxwell",913,"Water","",410,70,85,65,65,60,65,0.272,0.432,0.245,0.029,"Weak"
"Quaquaval",914,"Water","Fighting",530,85,120,80,85,75,85,0.331,0.622,0.306,0.063,"Weak"
"Lechonk",915,"Normal","",254,54,45,40,35,45,35,0.209,0.216,0.143,0.007,"Weak"
"Oinkologne Male",916,"Normal","",489,110,100,75,59,80,65,0.429,0.514,0.286,0.063,"Weak"
"Oinkologne Female",916,"Normal","",489,115,90,70,59,90,65,0.449,0.459,0.265,0.055,"Weak"
"Tarountula",917,"Bug","",210,35,41,45,29,40,20,0.134,0.195,0.163,0.004,"Weak"
"Spidops",918,"Bug","",404,60,79,92,52,86,35,0.232,0.4,0.355,0.033,"Weak"
"Nymble",919,"Bug","",210,33,46,40,21,25,45,0.126,0.222,0.143,0.004,"Weak"
"Lokix",920,"Bug","Dark",450,71,102,78,52,55,92,0.276,0.524,0.298,0.043,"Weak"
"Pawmi",921,"Electric","",240,45,50,20,40,25,60,0.173,0.243,0.061,0.003,"Weak"
"Pawmo",922,"Electric","Fighting",350,60,75,40,50,40,85,0.232,0.378,0.143,0.013,"Weak"
"Pawmot",923,"Electric","Fighting",490,70,115,70,70,60,105,0.272,0.595,0.265,0.043,"Weak"
"Tandemaus",924,"Normal","",305,50,50,45,40,45,75,0.193,0.243,0.163,0.008,"Weak"
"Maushold Family of Four",925,"Normal","",470,74,75,70,65,75,111,0.287,0.378,0.265,0.029,"Weak"
"Maushold Family of Three",925,"Normal","",470,74,75,70,65,75,111,0.287,0.378,0.265,0.029,"Weak"
"Fidough",926,"Fairy","",312,37,55,70,30,55,65,0.142,0.27,0.265,0.01,"Weak"
"Dachsbun",927,"Fairy","",477,57,80,115,50,80,95,0.22,0.405,0.449,0.04,"Weak"
"Smoliv",928,"Grass","Normal",260,41,35,45,58,51,30,0.157,0.162,0.163,0.004,"Weak"
"Dolliv",929,"Grass","Normal",354,52,53,60,78,78,33,0.201,0.259,0.224,0.012,"Weak"
"Arboliva",930,"Grass","Normal",510,78,69,90,125,109,39,0.303,0.346,0.347,0.037,"Weak"
"Squawkabilly Green Plumage",931,"Normal","Flying",417,82,96,51,45,51,92,0.319,0.492,0.188,0.03,"Weak"
"Squawkabilly Blue Plumage",931,"Normal","Flying",417,82,96,51,45,51,92,0.319,0.492,0.188,0.03,"Weak"
"Squawkabilly Yellow Plumage",931,"Normal","Flying",417,82,96,51,45,51,92,0.319,0.492,0.188,0.03,"Weak"
"Squawkabilly White Plumage",931,"Normal","Flying",417,82,96,51,45,51,92,0.319,0.492,0.188,0.03,"Weak"
"Nacli",932,"Rock","",280,55,55,75,35,35,25,0.213,0.27,0.286,0.017,"Weak"
"Naclstack",933,"Rock","",355,60,60,100,35,65,35,0.232,0.297,0.388,0.027,"Weak"
"Garganacl",934,"Rock","",500,100,100,130,45,90,35,0.39,0.514,0.51,0.102,"Weak"
"Charcadet",935,"Fire","",255,40,50,40,50,40,35,0.154,0.243,0.143,0.006,"Weak"
"Armarouge",936,"Fire","Psychic",525,85,60,100,125,80,75,0.331,0.297,0.388,0.038,"Weak"
"Ceruledge",937,"Fire","Ghost",525,75,125,80,60,100,85,0.291,0.649,0.306,0.058,"Weak"
"Tadbulb",938,"Electric","",272,61,31,41,59,35,45,0.236,0.141,0.147,0.005,"Weak"
"Bellibolt",939,"Electric","",495,109,64,91,103,83,45,0.425,0.319,0.351,0.048,"Weak"
"Wattrel",940,"Electric","Flying",280,40,40,35,55,40,70,0.154,0.189,0.122,0.004,"Weak"
"Kilowattrel",941,"Electric","Flying",490,70,70,60,105,60,125,0.272,0.351,0.224,0.022,"Weak"
"Maschiff",942,"Dark","",340,60,78,60,40,51,51,0.232,0.395,0.224,0.021,"Weak"
"Mabosstiff",943,"Dark","",505,80,120,90,60,70,85,0.311,0.622,0.347,0.067,"Weak"
"Shroodle",944,"Poison","Normal",290,40,65,35,40,35,75,0.154,0.324,0.122,0.006,"Weak"
"Grafaiai",945,"Poison","Normal",485,63,95,65,80,72,110,0.244,0.486,0.245,0.029,"Weak"
"Bramblin",946,"Grass","Ghost",275,40,65,30,45,35,60,0.154,0.324,0.102,0.005,"Weak"
"Brambleghast",947,"Grass","Ghost",480,55,115,70,80,70,90,0.213,0.595,0.265,0.034,"Weak"
"Toedscool",948,"Ground","Grass",335,40,40,35,50,100,70,0.154,0.189,0.122,0.004,"Weak"
"Toedscruel",949,"Ground","Grass",515,80,70,65,80,120,100,0.311,0.351,0.245,0.027,"Weak"
"Klawf",950,"Rock","",450,70,100,115,35,55,75,0.272,0.514,0.449,0.063,"Weak"
"Capsakid",951,"Grass","",304,50,62,40,62,40,50,0.193,0.308,0.143,0.009,"Weak"
"Scovillain",952,"Grass","Fire",486,65,108,65,108,65,75,0.252,0.557,0.245,0.035,"Weak"
"Rellor",953,"Bug","",270,41,50,60,31,58,30,0.157,0.243,0.224,0.009,"Weak"
"Rabsca",954,"Bug","Psychic",470,75,50,85,115,100,45,0.291,0.243,0.327,0.023,"Weak"
"Flittle",955,"Psychic","",255,30,35,30,55,30,75,0.114,0.162,0.102,0.002,"Weak"
"Espathra",956,"Psychic","",481,95,60,60,101,60,105,0.37,0.297,0.224,0.025,"Weak"
"Tinkatink",957,"Fairy","Steel",297,50,45,45,35,64,58,0.193,0.216,0.163,0.007,"Weak"
"Tinkatuff",958,"Fairy","Steel",380,65,55,55,45,82,78,0.252,0.27,0.204,0.014,"Weak"
"Tinkaton",959,"Fairy","Steel",506,85,75,77,70,105,94,0.331,0.378,0.294,0.037,"Weak"
"Wiglett",960,"Water","",245,10,55,25,35,25,95,0.035,0.27,0.082,0.001,"Weak"
"Wugtrio",961,"Water","",425,35,100,50,50,70,120,0.134,0.514,0.184,0.013,"Weak"
"Bombirdier",962,"Flying","Dark",485,70,103,85,60,85,82,0.272,0.53,0.327,0.047,"Weak"
"Finizen",963,"Water","",315,70,45,40,45,40,75,0.272,0.216,0.143,0.009,"Weak"
"Palafin Zero Form",964,"Water","",457,100,70,72,53,62,100,0.39,0.351,0.273,0.038,"Weak"
"Palafin Hero Form",964,"Water","",650,100,160,97,106,87,100,0.39,0.838,0.376,0.123,"Weak"
"Varoom",965,"Steel","Poison",300,45,70,63,30,45,47,0.173,0.351,0.237,0.015,"Weak"
"Revavroom",966,"Steel","Poison",500,80,119,90,54,67,90,0.311,0.616,0.347,0.067,"Weak"
"Cyclizar",967,"Dragon","Normal",501,70,95,65,85,65,121,0.272,0.486,0.245,0.033,"Weak"
"Orthworm",968,"Steel","",480,70,85,145,60,55,65,0.272,0.432,0.571,0.067,"Weak"
"Glimmet",969,"Rock","Poison",350,48,35,42,105,60,60,0.185,0.162,0.151,0.005,"Weak"
"Glimmora",970,"Rock","Poison",525,83,55,90,130,81,86,0.323,0.27,0.347,0.03,"Weak"
"Greavard",971,"Ghost","",290,50,61,60,30,55,34,0.193,0.303,0.224,0.013,"Weak"
"Houndstone",972,"Ghost","",488,72,101,100,50,97,68,0.28,0.519,0.388,0.057,"Weak"
"Flamigo",973,"Flying","Fighting",500,82,115,74,75,64,90,0.319,0.595,0.282,0.054,"Weak"
"Cetoddle",974,"Ice","",334,108,68,45,30,40,43,0.421,0.341,0.163,0.024,"Weak"
"Cetitan",975,"Ice","",521,170,113,65,45,55,73,0.665,0.584,0.245,0.095,"Weak"
"Veluza",976,"Water","Psychic",478,90,102,73,78,65,70,0.35,0.524,0.278,0.051,"Weak"
"Dondozo",977,"Water","",530,150,100,115,65,65,35,0.587,0.514,0.449,0.136,"Weak"
"Tatsugiri Curly Form",978,"Dragon","Water",475,68,50,60,120,95,82,0.264,0.243,0.224,0.015,"Weak"
"Tatsugiri Droopy Form",978,"Dragon","Water",475,68,50,60,120,95,82,0.264,0.243,0.224,0.015,"Weak"
"Tatsugiri Stretchy Form",978,"Dragon","Water",475,68,50,60,120,95,82,0.264,0.243,0.224,0.015,"Weak"
"Annihilape",979,"Fighting","Ghost",535,110,115,80,50,90,90,0.429,0.595,0.306,0.078,"Weak"
"Clodsire",980,"Poison","Ground",430,130,75,60,45,100,20,0.508,0.378,0.224,0.043,"Weak"
"Farigiraf",981,"Normal","Psychic",520,120,90,70,110,70,60,0.469,0.459,0.265,0.057,"Weak"
"Dudunsparce Two-Segment Form",982,"Normal","",520,125,100,80,85,75,55,0.488,0.514,0.306,0.077,"Weak"
"Dudunsparce Three-Segment Form",982,"Normal","",520,125,100,80,85,75,55,0.488,0.514,0.306,0.077,"Weak"
"Kingambit",983,"Dark","Steel",550,100,135,120,60,85,50,0.39,0.703,0.469,0.129,"Weak"
"Great Tusk",984,"Ground","Fighting",570,115,131,131,53,53,87,0.449,0.681,0.514,0.157,"Normal"
"Scream Tail",985,"Fairy","Psychic",570,115,65,99,65,115,111,0.449,0.324,0.384,0.056,"Weak"
"Brute Bonnet",986,"Grass","Dark",570,111,127,99,79,99,55,0.433,0.659,0.384,0.11,"Weak"
"Flutter Mane",987,"Ghost","Fairy",570,55,55,55,135,135,135,0.213,0.27,0.204,0.012,"Weak"
"Slither Wing",988,"Bug","Fighting",570,85,135,79,85,105,81,0.331,0.703,0.302,0.07,"Weak"
"Sandy Shocks",989,"Electric","Ground",570,85,81,97,121,85,101,0.331,0.411,0.376,0.051,"Weak"
"Iron Treads",990,"Ground","Steel",570,90,112,120,72,70,106,0.35,0.578,0.469,0.095,"Weak"
"Iron Bundle",991,"Ice","Water",570,56,80,114,124,60,136,0.217,0.405,0.445,0.039,"Weak"
"Iron Hands",992,"Fighting","Electric",570,154,140,108,50,68,50,0.602,0.73,0.42,0.185,"Normal"
"Iron Jugulis",993,"Dark","Flying",570,94,80,86,122,80,108,0.366,0.405,0.331,0.049,"Weak"
"Iron Moth",994,"Fire","Poison",570,80,70,60,140,110,110,0.311,0.351,0.224,0.025,"Weak"
"Iron Thorns",995,"Rock","Electric",570,100,134,110,70,84,72,0.39,0.697,0.429,0.117,"Weak"
"Frigibax",996,"Dragon","Ice",320,65,75,45,35,45,55,0.252,0.378,0.163,0.016,"Weak"
"Arctibax",997,"Dragon","Ice",423,90,95,66,45,65,62,0.35,0.486,0.249,0.043,"Weak"
"Baxcalibur",998,"Dragon","Ice",600,115,145,92,75,86,87,0.449,0.757,0.355,0.121,"Weak"
"Gimmighoul Chest Form",999,"Ghost","",300,45,30,70,75,70,10,0.173,0.135,0.265,0.006,"Weak"
"Gimmighoul Roaming Form",999,"Ghost","",300,45,30,25,75,45,80,0.173,0.135,0.082,0.002,"Weak"
"Gholdengo",1000,"Steel","Ghost",550,87,60,95,133,91,84,0.339,0.297,0.367,0.037,"Weak"
"Wo-Chien",1001,"Dark","Grass",570,85,85,100,95,135,70,0.331,0.432,0.388,0.056,"Weak"
"Chien-Pao",1002,"Dark","Ice",570,80,120,80,90,65,135,0.311,0.622,0.306,0.059,"Weak"
"Ting-Lu",1003,"Dark","Ground",570,155,110,125,55,80,45,0.606,0.568,0.49,0.169,"Normal"
"Chi-Yu",1004,"Dark","Fire",570,55,80,80,135,120,100,0.213,0.405,0.306,0.027,"Weak"
"Roaring Moon",1005,"Dragon","Dark",590,105,139,71,55,101,119,0.409,0.724,0.269,0.08,"Weak"
"Iron Valiant",1006,"Fairy","Fighting",590,74,130,90,120,60,116,0.287,0.676,0.347,0.068,"Weak"
"Koraidon",1007,"Fighting","Dragon",670,100,135,115,85,100,135,0.39,0.703,0.449,0.123,"Weak"
"Miraidon",1008,"Electric","Dragon",670,100,85,100,135,115,135,0.39,0.432,0.388,0.066,"Weak"
"Walking Wake",1009,"Water","Dragon",590,99,83,91,125,83,109,0.386,0.422,0.351,0.057,"Weak"
"Iron Leaves",1010,"Grass","Psychic",590,90,130,88,70,108,104,0.35,0.676,0.339,0.08,"Weak"
"Dipplin",1011,"Grass","Dragon",485,80,80,110,95,80,40,0.311,0.405,0.429,0.054,"Weak"
"Poltchageist",1012,"Grass","Ghost",308,40,45,45,74,54,50,0.154,0.216,0.163,0.006,"Weak"
"Sinistcha",1013,"Grass","Ghost",508,71,60,106,121,80,70,0.276,0.297,0.412,0.034,"Weak"
"Okidogi",1014,"Poison","Fighting",555,88,128,115,58,86,80,0.343,0.665,0.449,0.103,"Weak"
"Munkidori",1015,"Poison","Psychic",555,88,75,66,130,90,106,0.343,0.378,0.249,0.032,"Weak"
"Fezandipiti",1016,"Poison","Fairy",555,88,91,82,70,125,99,0.343,0.465,0.314,0.05,"Weak"
"Ogerpon Teal Mask",1017,"Grass","",550,80,120,84,60,96,110,0.311,0.622,0.322,0.062,"Weak"
"Ogerpon Wellspring Mask",1017,"Grass","Water",550,80,120,84,60,96,110,0.311,0.622,0.322,0.062,"Weak"
"Ogerpon Hearthflame Mask",1017,"Grass","Fire",550,80,120,84,60,96,110,0.311,0.622,0.322,0.062,"Weak"
"Ogerpon Cornerstone Mask",1017,"Grass","Rock",550,80,120,84,60,96,110,0.311,0.622,0.322,0.062,"Weak"
"Archaludon",1018,"Steel","Dragon",600,90,105,130,125,65,85,0.35,0.541,0.51,0.097,"Weak"
"Hydrapple",1019,"Grass","Dragon",540,106,80,110,120,80,44,0.413,0.405,0.429,0.072,"Weak"
"Gouging Fire",1020,"Fire","Dragon",590,105,115,121,65,93,91,0.409,0.595,0.473,0.115,"Weak"
"Raging Bolt",1021,"Electric","Dragon",590,125,73,91,137,89,75,0.488,0.368,0.351,0.063,"Weak"
"Iron Boulder",1022,"Rock","Psychic",590,90,120,80,68,108,124,0.35,0.622,0.306,0.067,"Weak"
"Iron Crown",1023,"Steel","Psychic",590,90,72,100,122,108,98,0.35,0.362,0.388,0.049,"Weak"
"Terapagos Normal Form",1024,"Normal","",450,90,65,85,65,85,60,0.35,0.324,0.327,0.037,"Weak"
"Terapagos Terastal Form",1024,"Normal","",600,95,95,110,105,110,85,0.37,0.486,0.429,0.077,"Weak"
"Terapagos Stellar Form",1024,"Normal","",700,160,105,110,130,110,85,0.626,0.541,0.429,0.145,"Weak"
"Pecharunt",1025,"Poison","Ghost",600,88,88,160,88,88,88,0.343,0.449,0.633,0.098,"Weak"
